sqft,bedrooms,bathrooms,floors,waterfront,view,condition,grade,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
2110,4,2.5,1.0,0,0,3,8,1969,0,98033,47.687,-122.201,1550,6610,697000
3020,6,3.0,1.0,0,3,4,8,2012,0,98112,47.6283,-122.3,1800,4590,1797000
2210,4,3.5,2.0,0,0,4,8,1920,0,98112,47.6218,-122.284,1930,10670,1219000
2300,5,2.75,2.0,0,0,3,9,1985,0,98023,47.2909,-122.366,2040,10380,378000
1250,3,1.75,2.0,0,2,3,7,1931,0,98052,47.673,-122.13,1130,4470,537000
2320,5,2.0,1.0,0,0,3,9,1976,0,98042,47.3805,-122.091,1610,8070,495000
3240,5,4.5,3.0,0,0,3,8,1971,0,98112,47.6401,-122.295,4230,9110,1518000
2620,5,2.75,1.0,0,0,3,7,1985,0,98118,47.5365,-122.269,2350,8340,449000
2850,6,3.25,2.0,0,0,3,9,1977,0,98031,47.3921,-122.206,3710,7400,550000
3200,6,4.25,2.0,0,0,3,9,1960,0,98115,47.6756,-122.314,3450,2030,1288000
1720,3,2.5,1.0,0,0,2,5,1944,0,98042,47.3659,-122.091,2020,2600,235000
1330,2,1.5,2.0,0,2,3,6,1937,0,98118,47.5492,-122.267,1230,8400,342000
3950,7,4.25,3.0,0,0,4,10,1913,1991,98033,47.6809,-122.189,3730,7740,2072000
1160,3,1.25,1.5,0,0,4,6,1925,0,98042,47.3645,-122.127,1160,5540,212000
2160,5,3.5,1.0,0,0,3,8,1975,0,98125,47.6945,-122.298,2040,7930,552000
2270,6,2.75,2.0,0,0,3,8,1947,0,98103,47.6716,-122.334,2540,7960,662000
2200,4,2.75,2.0,0,0,3,9,1954,0,98144,47.594,-122.295,2300,6410,783000
4240,6,5.0,2.0,0,0,4,9,2004,0,98004,47.5979,-122.227,3640,6840,2123000
4200,7,5.5,2.0,0,0,5,9,1959,0,98103,47.6637,-122.324,4060,6030,1206000
830,2,1.25,1.0,0,0,4,6,1914,0,98178,47.5121,-122.271,600,11750,177000
2630,5,3.25,1.0,0,0,3,8,1975,1985,98059,47.4968,-122.13,2250,5830,690000
3250,6,4.0,2.0,0,0,3,9,1927,0,98004,47.6169,-122.201,4080,9150,1793000
2430,5,2.5,1.0,0,0,3,9,1930,0,98112,47.629,-122.297,1480,6940,1219000
1420,4,2.25,2.0,0,0,3,7,1976,0,98023,47.3148,-122.369,930,8020,245000
1800,4,2.75,1.0,0,0,3,8,1973,2007,98059,47.4831,-122.118,1870,8690,525000
2960,5,3.5,1.0,0,0,4,10,1966,0,98133,47.7357,-122.328,3430,8520,1071000
1310,3,1.25,2.0,0,0,3,6,1943,0,98103,47.6869,-122.347,1230,9910,399000
1680,4,2.0,2.0,0,3,5,7,1978,2001,98004,47.6127,-122.206,1400,8250,1067000
2250,5,3.5,2.0,0,0,3,7,1958,0,98112,47.6407,-122.302,1910,9250,1071000
1210,2,1.75,1.0,0,0,3,7,1951,0,98042,47.3524,-122.12,1010,10890,183000
2050,3,2.5,1.5,0,0,3,7,1931,0,98106,47.5263,-122.364,1730,7910,459000
1770,5,1.75,2.0,0,0,5,6,1915,2004,98103,47.6888,-122.323,1450,5670,484000
2080,3,2.0,1.0,0,0,2,6,1930,0,98042,47.3485,-122.11,1680,7500,263000
1660,4,1.75,1.0,0,0,3,8,1948,0,98042,47.3842,-122.126,1430,7430,304000
2010,5,2.0,2.0,0,0,3,7,1995,0,98117,47.6934,-122.371,2050,4870,606000
1150,2,1.0,1.0,0,0,4,6,1977,0,98178,47.4978,-122.265,1230,6240,235000
1810,4,1.5,2.0,0,0,3,6,1910,0,98125,47.7055,-122.305,1350,8240,330000
1340,3,1.25,3.0,0,0,3,6,2008,0,98118,47.5583,-122.275,1130,6750,302000
2150,4,2.0,1.0,0,0,3,8,2007,0,98059,47.4806,-122.118,2350,7770,509000
1120,3,1.25,1.5,0,0,3,7,1923,0,98144,47.5961,-122.307,1190,4210,350000
1140,3,1.75,1.0,0,0,3,6,1972,0,98118,47.5459,-122.269,1120,11900,233000
3970,7,4.75,2.0,0,2,3,9,1947,0,98112,47.6411,-122.31,2640,3620,1749000
2080,3,2.75,1.0,0,0,5,8,1983,0,98042,47.3601,-122.119,1140,9130,440000
1790,3,3.0,1.0,0,0,4,6,1937,0,98023,47.2833,-122.347,1230,7410,287000
5060,7,5.5,1.0,0,0,3,12,2007,0,98178,47.4854,-122.258,5340,9800,1257000
1710,3,1.75,1.0,0,0,4,5,1911,0,98115,47.6909,-122.312,1650,4530,414000
2940,5,2.75,2.0,0,0,3,9,1911,0,98178,47.5104,-122.247,2570,5770,587000
2640,5,3.5,2.0,0,0,5,8,1957,2001,98004,47.6188,-122.216,2350,5870,1332000
1570,3,2.25,2.0,0,0,3,6,2006,0,98052,47.6746,-122.115,1120,7760,598000
2740,4,3.25,2.0,0,0,4,9,1974,0,98115,47.674,-122.289,2210,3940,933000
2160,4,2.25,1.5,0,0,4,9,1980,0,98125,47.7051,-122.329,1420,6930,518000
1820,3,2.5,1.0,0,0,3,8,1985,0,98031,47.4057,-122.208,1620,7810,330000
1230,2,1.5,1.0,0,0,3,7,1995,0,98112,47.6283,-122.29,1060,7960,517000
1230,1,2.25,1.0,0,0,3,7,1945,1998,98112,47.6215,-122.303,1030,5060,559000
4650,7,5.25,1.0,0,0,3,10,1980,0,98125,47.7053,-122.285,4100,13330,1269000
2660,6,3.0,1.0,0,2,4,8,1977,0,98004,47.6102,-122.228,2540,7770,1588000
2200,5,3.25,2.0,0,2,3,7,1935,0,98033,47.7164,-122.187,2790,15630,1136000
1680,4,1.25,1.0,0,0,3,8,2015,0,98133,47.7412,-122.356,2210,6730,495000
3140,4,4.25,1.0,0,1,3,10,1913,0,98178,47.4894,-122.233,2730,7210,737000
2160,4,2.5,1.0,0,0,4,6,1970,0,98117,47.692,-122.405,2140,7430,497000
2940,6,3.75,3.0,0,0,5,10,2002,0,98106,47.5408,-122.362,3530,5470,718000
2810,6,3.75,1.0,0,0,3,8,1956,0,98117,47.713,-122.368,2120,4960,820000
1290,2,1.25,1.0,0,0,3,7,1984,0,98118,47.5472,-122.262,1090,4800,274000
1110,3,1.75,1.0,0,0,4,7,2005,0,98004,47.598,-122.195,720,6590,583000
910,2,1.0,1.0,0,0,3,5,1900,0,98117,47.7006,-122.383,880,7030,201000
2530,5,2.5,1.0,0,0,3,9,1900,0,98004,47.617,-122.212,1680,8940,1477000
1510,3,2.25,3.0,0,0,3,5,1988,0,98199,47.6414,-122.388,1680,6110,441000
2290,4,3.25,2.0,0,0,5,9,1942,1990,98112,47.6389,-122.303,1980,10790,1322000
2290,3,2.5,1.0,0,0,3,8,1935,0,98052,47.6631,-122.113,1820,10580,846000
1890,4,1.75,2.0,0,1,3,8,1950,0,98059,47.4973,-122.137,1820,7750,506000
2370,5,2.25,1.0,0,0,3,8,1916,0,98144,47.5649,-122.287,2000,6260,675000
2820,4,3.0,3.0,0,0,3,8,1937,0,98199,47.6795,-122.407,3310,6340,869000
2570,6,2.75,2.0,0,0,5,9,1969,0,98125,47.7162,-122.303,2630,4200,724000
2130,3,2.25,2.0,0,2,4,7,1912,0,98117,47.6802,-122.365,2280,4410,684000
1590,4,2.75,2.0,0,0,3,7,1981,0,98004,47.6266,-122.206,1480,8970,992000
2160,4,2.5,2.0,0,2,4,9,1998,0,98033,47.6883,-122.192,2590,4950,1105000
2900,4,3.75,1.0,0,0,3,7,1956,0,98042,47.3952,-122.123,3490,8200,521000
2050,4,2.75,1.0,0,0,3,7,2000,0,98059,47.4913,-122.134,1230,5000,465000
3200,5,4.25,1.0,0,0,3,10,1967,0,98125,47.7338,-122.283,3250,10130,1150000
1510,4,2.75,1.0,0,0,3,6,1903,0,98112,47.6371,-122.296,1230,4310,507000
2310,4,3.5,1.0,0,0,4,7,1982,0,98059,47.4897,-122.151,2060,12640,549000
4100,7,4.5,2.0,0,0,3,10,1949,0,98115,47.6671,-122.319,4590,18980,1417000
5730,7,5.5,2.0,0,0,3,12,1955,0,98031,47.4183,-122.217,5210,6190,1500000
2190,4,2.5,2.0,0,0,3,7,1988,0,98031,47.4067,-122.211,2110,4180,413000
2920,5,2.75,1.0,0,0,3,9,1981,0,98112,47.6269,-122.313,2910,13550,1546000
4270,7,4.75,1.0,0,0,4,11,1995,0,98118,47.5291,-122.257,3980,11590,1063000
1760,3,1.5,2.0,0,1,1,7,1992,0,98112,47.6419,-122.305,1200,3860,840000
1180,3,1.75,1.0,0,0,3,6,1982,0,98144,47.5885,-122.305,1340,3970,312000
1860,4,2.0,1.0,0,0,3,6,1957,0,98059,47.4701,-122.117,2070,2780,367000
2130,3,3.0,2.0,0,0,3,8,2014,0,98031,47.4003,-122.178,1990,7710,575000
2580,3,3.0,1.5,0,0,2,7,1973,0,98133,47.759,-122.357,2630,6620,442000
1360,3,2.25,3.0,0,0,3,6,1989,0,98031,47.4107,-122.179,880,7370,299000
1360,3,2.5,1.0,0,0,3,6,1984,0,98133,47.7242,-122.376,1180,12170,254000
1730,3,2.25,1.0,0,0,3,8,1934,0,98199,47.6531,-122.398,1540,6850,569000
1820,5,2.75,2.0,0,0,3,6,1975,0,98199,47.6644,-122.393,1780,3250,507000
1950,4,1.5,1.0,0,0,3,8,1971,0,98103,47.6701,-122.331,2050,3290,672000
1070,3,2.0,1.0,0,0,4,6,1965,1995,98004,47.6052,-122.206,1060,4010,528000
2280,4,3.0,2.0,0,0,4,8,1965,0,98199,47.6413,-122.388,2270,7250,1054000
1240,2,2.0,1.0,0,0,3,6,1923,0,98144,47.5941,-122.295,1270,1620,264000
650,1,0.75,1.0,0,0,4,6,1902,0,98004,47.6186,-122.202,600,11170,427000
2860,5,3.25,2.0,0,0,4,9,1974,0,98033,47.6971,-122.201,2650,15130,1182000
1540,3,2.0,2.0,0,0,3,7,1976,0,98052,47.6574,-122.125,1010,7680,593000
2900,5,3.5,1.0,0,0,4,10,1918,0,98125,47.7005,-122.305,2800,5800,951000
1820,4,2.0,1.5,0,0,3,8,1905,0,98059,47.478,-122.11,1170,6650,462000
2330,5,3.0,1.0,0,0,3,7,1929,0,98042,47.3504,-122.122,1670,9040,380000
2020,4,2.75,1.5,0,0,3,8,2013,0,98118,47.5175,-122.285,1850,7080,414000
3960,7,4.75,1.5,0,3,3,11,1924,0,98004,47.6032,-122.209,4330,8530,2745000
1160,2,1.25,1.5,0,0,4,6,2011,0,98115,47.6694,-122.287,1520,7050,427000
1350,2,2.0,2.0,0,0,4,7,2011,0,98106,47.5356,-122.373,1500,4110,306000
2050,5,2.25,1.5,0,0,3,8,1975,0,98031,47.4088,-122.165,1490,8210,399000
2930,5,3.25,1.5,0,0,3,8,1950,0,98059,47.4951,-122.159,1840,13010,659000
1600,4,3.25,1.0,0,0,3,6,1905,0,98112,47.6441,-122.268,1300,3600,592000
1610,2,1.0,1.0,0,0,3,9,1983,0,98052,47.704,-122.112,2050,10680,714000
3210,6,4.0,2.0,0,0,4,9,1921,0,98103,47.6775,-122.327,3390,9330,1114000
1830,4,2.25,1.0,0,0,4,8,2005,0,98004,47.6122,-122.208,2360,11990,1278000
1350,3,1.5,1.0,0,0,3,7,1908,0,98106,47.5331,-122.361,1000,7720,271000
1620,5,2.0,1.5,0,0,3,8,1972,0,98052,47.6823,-122.128,1460,8990,508000
1590,4,1.5,2.0,0,1,3,6,1958,0,98144,47.5867,-122.293,1400,5710,419000
1810,5,3.0,2.0,0,0,3,6,1944,0,98117,47.6995,-122.364,1960,8170,415000
2450,4,2.75,2.0,0,0,4,8,1939,0,98144,47.5888,-122.295,2670,24520,607000
2870,4,3.0,2.0,0,0,4,7,1936,0,98059,47.4782,-122.123,1920,8460,579000
1660,3,1.75,1.0,0,0,5,8,1996,0,98004,47.6207,-122.217,1750,10320,892000
1530,3,2.0,2.0,0,0,5,6,1946,0,98115,47.6863,-122.303,1200,3150,633000
2100,5,2.5,2.0,0,0,4,7,1917,0,98112,47.6263,-122.303,2590,1560,864000
1710,4,2.25,2.0,0,0,3,7,1904,0,98117,47.6848,-122.37,1340,5230,554000
3060,5,3.75,2.0,0,0,4,9,1976,0,98059,47.4888,-122.146,2660,3180,801000
2420,4,3.25,2.0,0,0,3,8,1912,1989,98178,47.4946,-122.246,2290,5120,455000
3830,6,4.75,2.0,0,0,4,10,1930,0,98125,47.7321,-122.297,3310,10330,1042000
2650,5,3.5,1.0,0,0,1,7,1948,0,98033,47.6651,-122.189,3380,7720,958000
2770,4,3.5,2.0,0,0,3,10,1962,0,98112,47.6384,-122.303,2170,8260,1486000
1830,4,2.5,3.0,0,4,5,8,1918,0,98042,47.3779,-122.119,1760,8640,424000
2500,4,3.0,1.0,0,0,3,8,1919,2003,98033,47.6844,-122.211,2660,10860,1255000
1280,3,2.25,2.0,0,0,3,7,1999,0,98115,47.6971,-122.295,1560,7920,398000
1180,3,2.0,1.5,0,0,3,6,1914,0,98144,47.575,-122.312,1260,10370,280000
2300,5,2.5,1.5,0,0,4,8,1982,0,98023,47.3312,-122.379,1890,16220,511000
2020,4,2.75,2.0,0,0,3,6,1949,0,98031,47.4073,-122.187,2420,12700,417000
5010,7,5.5,1.5,0,0,3,11,1953,0,98103,47.6728,-122.328,4380,4660,1790000
2130,4,2.75,1.5,0,0,3,8,1914,2003,98042,47.3673,-122.125,1940,9490,360000
1180,4,1.75,1.0,0,0,3,4,2011,0,98106,47.5299,-122.354,1140,7690,211000
2390,6,3.5,2.0,0,0,3,9,1904,0,98144,47.5775,-122.273,2190,4940,583000
1660,3,1.75,2.0,1,3,3,6,1905,0,98106,47.53,-122.368,1280,8250,619000
1540,4,2.0,1.0,0,0,3,7,1906,0,98178,47.501,-122.256,1530,16150,229000
900,3,1.25,1.0,0,0,4,6,1985,0,98004,47.5893,-122.173,780,13070,441000
3310,7,3.75,1.0,0,0,3,9,1947,0,98042,47.366,-122.109,3640,6370,608000
1190,3,1.5,1.0,0,0,4,6,1979,0,98004,47.6341,-122.191,970,3190,511000
2510,5,2.25,2.0,0,0,3,8,1987,0,98052,47.6726,-122.127,2600,7310,884000
4700,7,5.5,2.0,0,0,4,12,1930,0,98106,47.5462,-122.362,4430,17290,1452000
1380,2,1.75,1.0,0,0,3,7,1964,0,98033,47.6885,-122.2,1340,3280,497000
1570,2,2.25,2.0,0,0,3,7,1925,2014,98144,47.6046,-122.298,1690,8960,447000
2050,5,1.75,1.0,0,0,3,7,1942,0,98004,47.6312,-122.215,1870,10800,904000
1630,3,2.5,2.0,0,0,3,7,1936,0,98133,47.739,-122.365,1440,5770,378000
1420,3,1.5,2.0,0,0,3,7,1956,0,98125,47.7116,-122.291,1400,6750,457000
1960,4,3.0,2.0,0,0,3,7,2003,0,98178,47.4914,-122.236,1440,6930,318000
900,2,1.5,1.0,0,0,3,4,1945,0,98125,47.711,-122.294,600,7070,255000
1900,3,2.5,2.0,0,0,4,8,1975,1987,98199,47.6555,-122.408,1980,9020,942000
1100,2,2.5,1.0,0,0,3,6,1902,0,98004,47.6128,-122.215,930,5940,424000
1180,2,1.5,1.0,0,0,3,6,1965,0,98059,47.5049,-122.138,850,3750,236000
1890,4,1.75,3.0,0,0,3,8,1975,0,98115,47.6669,-122.271,1530,3590,630000
3480,6,3.75,2.0,0,0,4,11,1995,0,98117,47.7057,-122.374,3470,8120,1087000
1140,3,2.0,1.5,0,0,3,6,1964,0,98106,47.5266,-122.37,1080,7850,259000
1370,1,2.0,1.0,0,0,3,7,1938,0,98023,47.3139,-122.359,1150,5170,248000
1370,3,2.25,1.0,0,0,3,7,2013,0,98103,47.6626,-122.344,1710,3670,486000
3060,6,3.75,1.0,0,2,3,9,1950,0,98117,47.6701,-122.368,3460,13230,1032000
2940,5,3.25,2.0,0,0,4,9,1967,0,98103,47.6658,-122.334,2150,4380,1080000
1350,2,1.75,2.0,0,0,3,8,1952,0,98199,47.6463,-122.408,1160,7530,444000
2690,6,3.5,2.0,0,0,3,9,2012,0,98042,47.3556,-122.126,2070,8310,376000
1700,3,2.25,2.0,0,0,3,7,1995,0,98033,47.698,-122.166,1250,8420,619000
2100,3,3.0,2.0,0,0,3,7,1907,1986,98178,47.5048,-122.234,1860,10560,376000
1610,3,1.75,1.0,0,0,3,8,1963,2003,98199,47.6736,-122.404,1370,6240,689000
720,2,0.75,1.0,0,0,3,6,1986,0,98004,47.5977,-122.217,600,4360,334000
3500,7,4.25,1.0,0,0,5,11,1900,1996,98042,47.3775,-122.126,3340,7630,933000
2200,5,2.75,1.0,0,0,3,7,1912,0,98199,47.6633,-122.397,1600,6420,803000
1590,3,2.25,1.0,0,0,4,7,2006,0,98052,47.6799,-122.121,1690,4280,488000
1250,3,2.0,1.5,0,0,3,6,2015,0,98052,47.7031,-122.127,1130,5290,570000
2000,4,3.75,1.0,0,0,3,7,1967,0,98133,47.7288,-122.344,2170,12540,372000
2630,5,3.0,1.0,0,2,3,8,1945,0,98199,47.6592,-122.392,2450,12960,1082000
2300,4,3.0,1.0,0,0,4,9,1904,0,98004,47.6099,-122.232,1610,3500,1448000
1400,3,1.0,1.0,0,0,3,8,1905,0,98199,47.6422,-122.408,1110,6250,605000
2190,4,2.5,1.0,0,0,3,6,1957,0,98144,47.5857,-122.297,1820,3560,473000
5650,7,5.5,1.0,0,0,4,12,1988,0,98178,47.4835,-122.244,5500,9080,2002000
3550,6,4.25,1.0,0,0,4,10,2013,0,98031,47.423,-122.189,3100,5500,838000
1060,2,1.5,1.0,0,0,4,6,1922,0,98059,47.4968,-122.13,670,10290,252000
840,2,1.5,2.0,0,0,1,5,1923,0,98115,47.6789,-122.305,620,8350,219000
1540,2,2.0,2.0,0,3,4,7,1947,0,98133,47.7269,-122.332,1450,5320,427000
1620,2,2.0,1.0,0,0,4,6,2014,0,98144,47.5702,-122.299,1200,11050,415000
2380,4,3.0,1.0,0,0,3,8,1951,0,98106,47.5408,-122.343,2310,11790,594000
1590,3,2.25,2.0,1,3,3,8,1923,0,98112,47.6375,-122.303,1520,9130,1255000
1610,3,1.5,1.0,0,0,3,9,1901,0,98023,47.3295,-122.366,1470,13470,392000
1000,2,1.25,1.0,0,0,2,6,1985,0,98103,47.6514,-122.332,700,7160,223000
2010,4,3.0,1.0,0,0,3,8,1967,0,98052,47.6591,-122.105,1750,10340,678000
1070,3,1.75,1.0,0,0,3,5,1989,0,98199,47.6639,-122.404,870,3540,424000
1570,4,2.0,1.5,0,0,4,7,1900,0,98199,47.6635,-122.393,1450,13380,571000
1660,4,2.5,2.0,0,0,3,6,1909,0,98052,47.6694,-122.125,1430,8070,635000
2920,4,3.5,1.0,0,0,4,9,1973,0,98115,47.6932,-122.288,2440,13710,1192000
890,2,1.75,2.0,0,0,3,7,1922,0,98133,47.7355,-122.357,880,19080,188000
1370,3,1.5,2.0,0,2,4,6,1919,0,98033,47.6654,-122.203,910,8400,591000
3060,6,3.75,2.0,0,0,3,9,1953,0,98125,47.7184,-122.316,3610,7150,836000
1160,1,1.25,2.0,0,0,4,6,2011,0,98004,47.621,-122.219,950,8350,631000
1400,2,2.25,1.0,0,0,4,9,1988,0,98103,47.6713,-122.352,840,4120,528000
2410,4,2.75,1.0,0,0,3,8,1942,0,98118,47.5362,-122.3,1810,20820,587000
2350,4,3.0,1.0,0,1,3,8,1944,0,98023,47.2955,-122.372,2130,7660,432000
2720,4,3.5,2.0,0,0,4,9,1913,2001,98031,47.4162,-122.189,2460,8530,795000
1420,3,1.75,2.0,0,0,4,7,2012,0,98023,47.3048,-122.347,1270,14450,249000
2650,4,3.75,2.0,0,2,5,9,1933,0,98117,47.6848,-122.382,1710,9630,1106000
2050,5,3.25,1.0,0,2,4,9,1927,0,98115,47.7071,-122.274,2090,8360,874000
1670,3,2.5,1.0,0,0,3,6,1948,0,98004,47.6326,-122.207,1650,9110,652000
2480,5,3.75,2.0,0,0,4,7,1978,0,98059,47.4819,-122.142,2320,5740,584000
1180,3,1.0,1.5,0,0,3,8,1989,0,98144,47.5817,-122.304,920,7820,378000
2210,5,2.5,1.0,0,0,3,7,1935,0,98052,47.677,-122.127,2230,4020,702000
1720,3,1.75,1.0,0,3,3,7,1942,0,98178,47.4873,-122.257,1650,4910,372000
790,2,1.25,1.0,0,0,3,6,1978,0,98031,47.4318,-122.209,600,4270,170000
2200,4,2.5,1.0,0,2,3,7,1930,0,98112,47.6314,-122.283,2050,5250,974000
1410,3,1.75,1.5,0,0,4,6,1905,0,98004,47.6192,-122.199,1310,8240,675000
1320,2,0.75,1.5,0,0,4,6,1986,0,98199,47.6408,-122.418,990,16990,555000
1010,3,1.25,2.0,0,0,3,5,1980,0,98106,47.5189,-122.326,860,12390,184000
3620,7,4.25,2.0,0,0,3,10,1900,0,98042,47.3696,-122.123,3360,3250,859000
1550,3,2.0,1.0,1,3,3,6,1923,0,98059,47.4912,-122.141,1390,5650,735000
1220,2,1.5,2.0,0,0,3,8,1995,0,98125,47.7226,-122.297,1130,6480,378000
1280,3,2.0,2.0,0,0,2,8,2009,0,98004,47.6044,-122.205,1210,4860,685000
1350,3,1.25,1.0,0,0,3,6,1953,0,98117,47.672,-122.366,1530,7280,323000
2670,5,3.0,1.0,0,0,2,9,1905,0,98052,47.6756,-122.121,2730,3660,1049000
3260,6,4.5,2.0,0,0,3,9,1969,0,98106,47.528,-122.358,2590,10660,706000
2850,5,3.0,2.0,0,0,5,9,2012,0,98144,47.5883,-122.315,2720,3540,810000
2440,5,2.75,1.0,0,0,4,8,1989,0,98133,47.7567,-122.348,1620,12000,620000
2320,4,2.5,2.0,0,1,5,8,1951,0,98112,47.6057,-122.301,1670,7480,777000
3010,6,3.5,2.0,0,0,4,9,1977,0,98115,47.6836,-122.304,3470,3760,1003000
1390,3,1.0,2.0,0,0,4,6,1921,0,98133,47.7379,-122.338,1580,10960,313000
2610,5,2.75,1.5,0,0,3,7,1954,1991,98042,47.3552,-122.099,2660,8380,432000
1260,2,2.25,2.0,0,0,3,6,1915,0,98178,47.4743,-122.266,1160,12930,214000
1160,2,1.75,1.5,0,1,4,5,1964,0,98118,47.5187,-122.265,1080,8090,273000
1160,2,1.25,2.0,0,0,4,7,1987,0,98004,47.6111,-122.208,890,8810,585000
2500,6,3.75,1.0,0,0,4,8,1993,0,98118,47.53,-122.248,1450,4800,500000
1970,4,2.75,3.0,0,0,3,7,1965,0,98144,47.59,-122.291,2320,10750,420000
930,2,1.25,1.5,0,0,3,6,1919,2004,98199,47.6492,-122.394,640,5780,366000
1310,2,2.25,2.0,0,0,3,7,2007,0,98144,47.5918,-122.291,880,7410,467000
1950,3,3.0,3.0,0,1,3,7,1930,0,98031,47.4055,-122.205,1890,9540,365000
2020,5,2.75,1.5,0,1,4,8,2005,0,98042,47.366,-122.097,1960,13600,364000
2180,5,2.75,1.0,0,0,4,7,1922,0,98023,47.3141,-122.356,1490,8780,335000
1110,2,1.5,3.0,0,0,3,6,1952,0,98004,47.5964,-122.197,1090,7310,523000
1090,2,1.75,1.0,0,0,3,6,1921,0,98125,47.7271,-122.308,990,6790,291000
2360,5,3.5,1.0,0,0,3,8,1909,0,98052,47.6757,-122.135,1370,6770,765000
4340,7,5.5,1.0,0,0,3,10,1931,0,98059,47.4833,-122.106,4190,7470,1017000
2000,5,2.75,1.0,0,0,3,7,2002,0,98033,47.6843,-122.194,1130,8920,600000
4390,7,4.75,2.0,0,0,4,10,2002,0,98052,47.6803,-122.115,4270,10720,2278000
1630,3,2.25,1.0,0,0,3,6,1988,0,98144,47.5764,-122.277,1020,5250,393000
1920,4,2.25,1.0,0,0,3,8,1941,0,98117,47.6938,-122.38,2200,6690,591000
1150,2,1.5,2.0,1,4,4,6,1949,0,98059,47.4842,-122.153,1170,5650,435000
1900,2,2.75,2.0,0,0,3,8,1983,0,98133,47.7426,-122.337,1320,5860,464000
2940,6,3.0,1.0,0,0,3,9,1918,0,98103,47.676,-122.334,2520,5470,789000
3150,4,4.0,1.0,0,0,4,8,1960,0,98125,47.7085,-122.294,3800,3500,934000
1140,2,1.5,2.0,0,0,3,6,1956,0,98117,47.7103,-122.367,780,19040,338000
2040,4,2.5,2.0,0,2,3,8,1986,0,98033,47.6806,-122.183,1560,17100,646000
1630,3,2.0,2.0,0,0,2,7,2007,0,98117,47.6871,-122.392,1690,9620,490000
1770,4,2.75,1.0,0,1,4,7,1928,0,98031,47.4127,-122.183,1620,7450,309000
2780,5,2.75,1.0,0,1,4,9,1995,0,98023,47.2963,-122.37,2600,20860,549000
1140,2,1.5,1.0,0,0,4,6,1909,0,98112,47.6411,-122.3,1200,12480,476000
2160,4,2.5,1.0,0,0,3,9,1926,0,98042,47.3883,-122.129,1750,9540,425000
3070,6,4.0,1.0,0,0,4,9,1957,0,98178,47.5026,-122.228,2700,11700,826000
4170,6,4.75,2.0,0,0,3,12,1921,2011,98112,47.6359,-122.294,3780,3860,2991000
2150,3,2.75,1.0,0,0,4,7,1999,0,98059,47.4812,-122.127,1970,2670,767000
1930,3,2.0,1.0,0,0,4,9,1985,0,98125,47.6774,-122.286,1860,8030,497000
1380,4,1.5,1.5,0,0,4,5,1908,0,98178,47.491,-122.245,1370,4520,257000
1400,3,1.75,1.0,0,0,3,5,1924,0,98118,47.5412,-122.274,800,9750,235000
3020,5,4.0,1.0,0,0,3,8,1908,0,98112,47.6298,-122.294,2730,12320,1256000
2010,5,2.5,1.0,0,2,2,8,2012,0,98004,47.6075,-122.222,1310,13040,1084000
1680,3,2.0,3.0,0,2,2,8,1919,0,98112,47.6336,-122.296,1700,5310,995000
2080,3,2.5,1.0,0,2,4,7,1999,0,98031,47.4101,-122.196,1760,9630,429000
1310,2,1.75,1.0,0,0,3,7,1955,0,98118,47.5545,-122.27,880,7060,286000
5840,7,5.5,2.0,0,0,4,12,2010,0,98052,47.6729,-122.155,5500,8000,2512000
1800,2,1.5,1.0,0,0,3,7,1982,0,98023,47.3062,-122.351,2120,7140,217000
2120,4,2.75,1.0,0,0,3,8,1990,0,98059,47.4888,-122.13,1940,4600,599000
3120,5,4.0,1.0,0,0,3,10,2008,0,98125,47.7248,-122.301,3160,7440,872000
2740,5,3.0,1.0,0,0,3,9,1967,2013,98133,47.7177,-122.348,2310,5470,778000
720,2,0.75,1.0,0,0,3,5,1965,2003,98042,47.3599,-122.128,630,8120,123000
2650,6,3.5,1.0,0,0,4,9,1966,0,98118,47.544,-122.255,2270,13200,633000
1290,4,2.0,1.0,0,0,3,5,1937,0,98106,47.5462,-122.355,1310,3410,204000
2460,5,3.0,1.0,0,0,4,6,2000,0,98004,47.6173,-122.209,1980,10540,976000
1450,4,2.25,1.0,0,0,4,6,1973,0,98199,47.6458,-122.415,1360,11520,511000
1240,3,1.75,1.0,0,0,4,7,1977,1993,98059,47.4874,-122.14,600,3920,389000
1980,4,3.0,2.0,0,0,3,7,1950,0,98125,47.7161,-122.292,1820,6750,398000
1260,2,1.5,1.0,0,0,3,6,1912,0,98112,47.6075,-122.289,1120,7800,424000
2330,4,2.25,1.0,0,0,5,8,2001,0,98004,47.6361,-122.208,1520,6850,1214000
3760,6,5.0,1.5,0,0,3,10,1955,0,98023,47.3128,-122.372,3790,8950,633000
2610,5,3.0,1.5,0,2,4,8,1997,0,98117,47.6909,-122.373,1130,4090,1214000
1300,2,1.75,2.0,0,0,3,5,1956,1994,98125,47.7301,-122.316,900,15310,294000
2420,4,3.0,2.0,0,0,3,8,1983,0,98118,47.5309,-122.27,1740,11030,570000
1550,2,1.75,2.0,0,0,3,6,1938,0,98133,47.7323,-122.339,1470,10450,307000
3020,6,3.75,1.0,0,0,3,8,1960,0,98052,47.6886,-122.127,2850,16160,1154000
840,2,1.25,2.0,0,0,3,5,1917,0,98178,47.4892,-122.262,790,14810,141000
2040,4,2.75,2.0,0,3,3,8,1923,0,98023,47.3089,-122.385,2060,5090,451000
