tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,gender,senior_citizen,partner,dependents,phone_service,multiple_lines,churn
32,88.38,2829.49,One year,Electronic check,Fiber optic,No,No,Yes,No,Yes,No,Male,0,Yes,No,Yes,Yes,0
41,70.47,2792.01,Two year,Bank transfer,Fiber optic,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,No,0
39,84.09,3171.41,Month-to-month,Bank transfer,Fiber optic,Yes,No,Yes,No,No,No,Male,0,No,Yes,Yes,Yes,0
47,23.87,1164.19,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,Yes,No,0
19,23.34,445.85,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,0
36,86.39,2971.91,One year,Bank transfer,Fiber optic,No,No,No,No,Yes,No,Male,0,No,Yes,Yes,Yes,0
22,32.04,739.21,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,No,No,Yes,Yes,1
21,80.01,1606.04,Two year,Bank transfer,Fiber optic,No,Yes,No,No,No,No,Female,0,Yes,No,Yes,Yes,0
15,92.21,1443.43,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,Yes,Yes,Male,0,No,Yes,Yes,No,1
34,54.96,1947.92,Month-to-month,Electronic check,DSL,No,No,No,No,No,Yes,Male,0,Yes,No,Yes,No,1
27,100.37,2717.79,One year,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,1,No,No,Yes,Yes,0
20,14.49,290.52,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,No,No phone service,0
5,49.8,250.58,Month-to-month,Bank transfer,DSL,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,No,0
1,86.35,84.26,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,Yes,No,Male,0,No,No,Yes,Yes,1
63,48.66,3150.05,One year,Electronic check,DSL,No,No,No,No,No,No,Male,1,No,Yes,Yes,Yes,0
30,56.99,1640.3,Month-to-month,Mailed check,DSL,No,Yes,No,No,No,No,Female,0,Yes,No,Yes,Yes,0
32,82.38,2750.3,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,No,No,No,Female,0,Yes,No,Yes,No,0
36,83.7,2946.02,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,Yes,1
31,61.11,1952.13,Month-to-month,Electronic check,DSL,No,Yes,Yes,Yes,No,No,Male,1,No,No,Yes,Yes,0
30,84.35,2534.46,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,No,No,Yes,Male,0,Yes,No,Yes,Yes,0
57,71.01,4074.82,One year,Electronic check,DSL,No,Yes,No,Yes,Yes,No,Female,0,No,No,Yes,Yes,0
11,25.59,269.06,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,No,No,Yes,Yes,0
29,79.54,2350.3,Month-to-month,Electronic check,Fiber optic,No,Yes,No,Yes,No,No,Female,0,Yes,No,Yes,No,1
6,26.16,154.43,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,No,No,Yes,Yes,0
51,86.84,4582.55,Two year,Electronic check,Fiber optic,Yes,No,Yes,No,Yes,No,Male,0,No,No,Yes,No,0
35,61.27,2110.33,One year,Electronic check,DSL,Yes,No,No,No,Yes,No,Male,0,No,No,Yes,Yes,0
52,19.95,1008.54,Two year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,0
25,56.06,1467.41,Month-to-month,Mailed check,DSL,No,No,Yes,Yes,No,No,Male,0,No,Yes,Yes,No,0
32,52.48,1744.87,Month-to-month,Credit card,DSL,No,No,No,No,Yes,No,Male,0,No,No,Yes,No,0
32,40.52,1278.21,Two year,Mailed check,DSL,No,No,No,No,No,No,Male,0,No,No,Yes,No,0
21,17.59,370.39,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,0
20,62.78,1305.05,Month-to-month,Electronic check,DSL,Yes,Yes,No,No,No,Yes,Female,0,Yes,No,Yes,No,0
6,22.48,137.61,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,0
9,28.55,253.8,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,0
10,101.33,1014.09,Two year,Credit card,Fiber optic,No,No,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,Yes,0
35,85.5,3075.56,Month-to-month,Bank transfer,Fiber optic,No,Yes,No,Yes,No,No,Male,0,No,No,Yes,Yes,0
13,89.77,1128.71,Month-to-month,Electronic check,Fiber optic,No,Yes,No,Yes,No,Yes,Female,0,Yes,Yes,Yes,No,1
31,25.92,791.27,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,0
11,46.65,520.38,Month-to-month,Electronic check,DSL,No,No,No,No,No,No,Male,0,Yes,No,Yes,Yes,1
5,19.39,99.2,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,No,Yes,Yes,No,0
43,92.39,3916.65,One year,Bank transfer,Fiber optic,Yes,Yes,Yes,Yes,No,No,Female,0,No,No,Yes,No,0
5,57.75,286.89,Month-to-month,Mailed check,DSL,No,No,No,Yes,No,No,Male,0,No,No,Yes,Yes,0
44,69.59,3020.71,Two year,Credit card,DSL,No,Yes,No,No,No,Yes,Female,0,No,No,Yes,Yes,0
13,76.38,1028.19,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,No,No phone service,1
12,62.01,712.25,Two year,Electronic check,DSL,No,No,Yes,Yes,No,Yes,Male,0,No,No,Yes,No,0
34,87.02,3068.42,Month-to-month,Electronic check,Fiber optic,No,Yes,No,No,Yes,No,Female,0,Yes,No,No,No phone service,0
11,85.41,904.54,Month-to-month,Credit card,Fiber optic,Yes,Yes,No,No,Yes,No,Male,0,No,No,Yes,No,1
5,43.31,217.69,Month-to-month,Mailed check,DSL,Yes,No,No,No,No,No,Male,0,Yes,Yes,Yes,No,0
21,91.55,1866.28,Month-to-month,Mailed check,Fiber optic,No,No,No,No,Yes,Yes,Female,0,Yes,No,Yes,No,0
29,58.43,1772.62,Month-to-month,Credit card,DSL,No,No,Yes,No,Yes,No,Male,0,Yes,Yes,Yes,No,0
19,62.01,1216.92,Month-to-month,Bank transfer,DSL,No,Yes,No,No,No,Yes,Female,0,Yes,No,Yes,Yes,0
8,89.34,736.77,Month-to-month,Bank transfer,Fiber optic,Yes,Yes,No,No,No,Yes,Female,0,Yes,No,Yes,No,1
14,61.29,864.44,Month-to-month,Credit card,DSL,Yes,No,No,No,Yes,No,Male,1,Yes,No,Yes,No,1
44,24.53,1062.16,One year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,No,Yes,Yes,Yes,0
53,90.57,5018.95,Two year,Bank transfer,Fiber optic,Yes,No,Yes,No,Yes,No,Male,1,No,No,Yes,No,0
4,18.16,69.3,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,1
13,25.66,348.69,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,Yes,Yes,Yes,1
49,85.3,4341.22,One year,Bank transfer,Fiber optic,No,Yes,No,No,No,Yes,Male,0,Yes,No,Yes,No,1
36,61.04,2251.92,One year,Mailed check,DSL,Yes,No,Yes,No,Yes,No,Female,0,Yes,No,Yes,No,0
32,76.34,2476.84,One year,Bank transfer,Fiber optic,No,No,No,No,Yes,No,Female,0,Yes,No,Yes,No,0
14,80.59,1124.21,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,No,No,No,Male,0,Yes,No,Yes,No,1
26,58.36,1476.53,One year,Credit card,DSL,No,No,Yes,No,No,Yes,Female,1,Yes,No,Yes,No,0
25,68.02,1712.66,Month-to-month,Bank transfer,DSL,Yes,Yes,No,No,Yes,No,Male,0,Yes,Yes,Yes,No,0
37,67.15,2417.61,Month-to-month,Electronic check,DSL,Yes,Yes,No,Yes,Yes,No,Male,0,Yes,No,Yes,No,0
13,24.77,330.01,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,1
31,71.22,2184.45,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,No,1
2,72.43,146.25,Month-to-month,Mailed check,Fiber optic,No,No,No,No,No,No,Female,0,Yes,No,Yes,No,1
44,49.93,2292.86,Two year,Mailed check,DSL,Yes,No,No,No,No,No,Male,0,No,No,Yes,No,0
7,60.42,422.91,Month-to-month,Electronic check,DSL,No,Yes,Yes,No,No,No,Male,1,Yes,Yes,Yes,Yes,1
6,19.57,112.42,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,0
11,91.09,1044.87,Month-to-month,Electronic check,Fiber optic,Yes,No,No,Yes,No,Yes,Female,0,Yes,No,Yes,No,1
19,84.93,1533.75,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,No,1
24,20.97,517.26,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,No,1
9,88.07,776.17,Two year,Mailed check,Fiber optic,No,Yes,No,No,Yes,No,Female,0,Yes,Yes,Yes,Yes,1
1,86.25,82.07,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,No,1
43,87.18,3770.82,Two year,Bank transfer,Fiber optic,No,No,Yes,No,No,Yes,Male,0,Yes,Yes,Yes,Yes,0
58,60.97,3534.94,Two year,Credit card,DSL,Yes,No,No,Yes,No,Yes,Male,1,No,Yes,Yes,No,0
14,83.88,1182.56,Month-to-month,Mailed check,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,Yes,Yes,1
11,78.82,892.59,Month-to-month,Mailed check,Fiber optic,No,No,No,No,Yes,No,Male,0,No,No,No,No phone service,1
45,96.27,4279.27,One year,Electronic check,Fiber optic,No,Yes,Yes,No,Yes,No,Female,0,Yes,No,Yes,Yes,0
64,79.14,5065.74,Two year,Credit card,Fiber optic,No,No,Yes,No,No,No,Female,1,Yes,Yes,Yes,No,0
29,79.49,2379.06,One year,Electronic check,Fiber optic,Yes,No,Yes,Yes,No,No,Male,1,No,No,Yes,Yes,0
13,93.12,1196.19,Two year,Electronic check,Fiber optic,No,Yes,No,No,No,Yes,Female,0,Yes,No,Yes,Yes,0
37,75.34,2904.7,One year,Bank transfer,DSL,No,No,Yes,Yes,Yes,Yes,Male,0,No,Yes,Yes,No,0
39,91.26,3454.77,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,Yes,0
37,71.19,2576.35,One year,Bank transfer,DSL,No,No,No,Yes,Yes,Yes,Male,0,Yes,No,Yes,No,0
9,84.17,729.78,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,No,No,Female,0,No,No,Yes,Yes,1
4,88.87,354.32,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,No,1
54,81.66,4432.08,One year,Mailed check,Fiber optic,Yes,Yes,No,No,No,No,Female,0,Yes,No,Yes,Yes,0
3,87.99,267.08,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,No,Yes,Female,0,Yes,No,Yes,Yes,1
2,71.7,146.68,Month-to-month,Electronic check,DSL,No,Yes,No,No,Yes,Yes,Female,0,No,No,Yes,Yes,1
35,18.62,621.98,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,No,No phone service,0
35,94.57,3305.16,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,Yes,Yes,Female,0,No,No,No,No phone service,0
37,98.74,3598.08,Month-to-month,Mailed check,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,Yes,Yes,Yes,No,0
28,74.98,2198.37,One year,Electronic check,Fiber optic,Yes,No,Yes,No,No,No,Female,0,Yes,No,Yes,No,0
26,25.24,664.81,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,Yes,Yes,Yes,0
44,62.37,2786.4,One year,Electronic check,DSL,No,No,No,Yes,Yes,No,Female,1,No,No,Yes,No,0
9,83.09,723.86,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,No,Yes,Female,1,No,No,Yes,Yes,1
9,84.68,747.82,One year,Electronic check,Fiber optic,No,Yes,No,No,No,Yes,Female,0,No,Yes,Yes,No,0
22,81.5,1760.39,Month-to-month,Electronic check,Fiber optic,No,Yes,No,No,No,Yes,Female,0,Yes,Yes,Yes,No,1
17,21.88,384.62,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,No,No phone service,0
10,85.55,814.74,Month-to-month,Electronic check,Fiber optic,No,Yes,No,Yes,Yes,No,Female,0,No,No,Yes,No,1
10,21.9,227.27,One year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,Yes,0
20,80.29,1550.84,Month-to-month,Credit card,Fiber optic,No,No,No,No,Yes,No,Male,0,No,No,No,No phone service,0
31,59.28,1857.21,Two year,Electronic check,DSL,Yes,No,No,No,No,No,Female,0,No,No,Yes,Yes,0
14,25.26,347.77,Month-to-month,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,0
38,86.51,3270.86,Month-to-month,Credit card,Fiber optic,No,Yes,No,No,No,No,Female,0,Yes,Yes,Yes,Yes,1
47,63.45,3094.19,One year,Electronic check,DSL,No,No,Yes,No,Yes,No,Female,0,No,No,Yes,Yes,0
61,62.43,3905.75,One year,Credit card,DSL,No,No,No,No,No,Yes,Male,0,Yes,Yes,Yes,Yes,0
54,58.9,3204.96,One year,Mailed check,DSL,Yes,Yes,No,No,No,No,Female,0,No,No,Yes,Yes,0
61,88.11,5246.55,Two year,Credit card,Fiber optic,Yes,No,No,No,No,Yes,Female,0,Yes,Yes,Yes,No,0
56,98.98,5419.91,One year,Mailed check,Fiber optic,No,No,Yes,Yes,Yes,Yes,Female,0,Yes,Yes,No,No phone service,0
30,61.69,1847.49,One year,Electronic check,DSL,No,No,No,No,Yes,No,Female,0,No,No,Yes,Yes,0
2,65.61,134.93,Month-to-month,Bank transfer,DSL,No,Yes,No,No,Yes,No,Male,1,No,No,Yes,Yes,1
11,21.71,234.23,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,No,1
53,84.08,4408.78,Two year,Bank transfer,Fiber optic,No,Yes,No,No,Yes,No,Male,0,Yes,No,Yes,No,0
7,72.94,534.95,Month-to-month,Mailed check,DSL,No,No,Yes,No,Yes,Yes,Female,0,No,Yes,Yes,Yes,0
29,62.45,1759.15,Two year,Bank transfer,DSL,No,No,Yes,No,No,Yes,Female,0,No,No,Yes,No,0
30,21.74,631.71,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,1,Yes,No,Yes,Yes,0
9,21.18,181.81,One year,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,0
26,94.57,2476.46,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,No,Yes,Male,0,No,No,Yes,Yes,0
26,99.51,2688.19,Month-to-month,Mailed check,Fiber optic,No,Yes,No,Yes,Yes,No,Male,1,Yes,Yes,Yes,Yes,0
12,68.83,848.66,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,No,1
23,89.06,2136.76,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,No,Yes,No,Male,0,Yes,No,No,No phone service,0
33,42.86,1358.28,Two year,Bank transfer,DSL,No,No,No,No,No,No,Female,0,Yes,No,No,No phone service,0
31,99.09,3052.4,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,Yes,Yes,Female,1,No,No,Yes,Yes,1
62,77.11,4829.84,One year,Bank transfer,DSL,Yes,No,Yes,No,Yes,Yes,Male,0,Yes,No,Yes,Yes,0
8,56.11,470.97,Month-to-month,Electronic check,DSL,No,No,Yes,No,No,No,Female,0,Yes,No,Yes,Yes,1
7,70.15,490.58,Month-to-month,Credit card,Fiber optic,No,No,No,No,No,No,Female,0,No,Yes,No,No phone service,1
16,59.17,941.18,Two year,Mailed check,DSL,No,No,No,No,Yes,Yes,Female,0,Yes,No,Yes,No,0
31,25.61,809.85,Two year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,0
18,81.64,1474.66,Two year,Electronic check,Fiber optic,No,Yes,Yes,No,No,No,Female,1,No,Yes,Yes,Yes,0
34,65.44,2242.18,Month-to-month,Credit card,DSL,Yes,Yes,Yes,No,No,No,Male,0,Yes,No,Yes,Yes,0
48,46.81,2194.44,One year,Credit card,DSL,No,No,No,No,No,No,Male,0,Yes,No,No,No phone service,0
28,18.57,529.98,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,No,0
18,22.32,421.07,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,Yes,No,0
39,71.09,2757.36,Month-to-month,Mailed check,Fiber optic,Yes,No,No,No,No,No,Male,0,Yes,No,Yes,Yes,0
70,66.04,4793.42,Two year,Bank transfer,Fiber optic,No,No,No,No,No,No,Male,0,Yes,Yes,Yes,No,0
8,81.73,662.56,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,No,Yes,Female,0,Yes,Yes,No,No phone service,0
36,19.01,659.16,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,Yes,No,No,No phone service,0
26,61.57,1641.45,Month-to-month,Electronic check,DSL,Yes,No,No,Yes,Yes,No,Male,0,Yes,No,Yes,No,0
33,30.17,987.7,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,Yes,0
35,59.84,2083.5,Month-to-month,Bank transfer,DSL,No,No,No,Yes,Yes,No,Male,0,Yes,No,No,No phone service,0
17,80.77,1393.04,Month-to-month,Bank transfer,Fiber optic,No,No,No,No,No,Yes,Male,0,Yes,No,Yes,No,1
9,89.98,844.29,Two year,Credit card,Fiber optic,Yes,Yes,No,Yes,No,No,Male,0,Yes,No,No,No phone service,0
30,91.34,2801.68,One year,Mailed check,Fiber optic,Yes,Yes,No,No,No,Yes,Female,0,No,No,Yes,No,0
67,73.97,5120.06,Two year,Credit card,Fiber optic,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,No,0
7,51.06,365.14,Two year,Bank transfer,DSL,No,No,No,No,Yes,No,Male,0,No,No,Yes,No,0
32,77.67,2600.83,Month-to-month,Bank transfer,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,No,Yes,No,0
55,68.05,3829.55,Two year,Credit card,DSL,No,Yes,No,Yes,Yes,No,Female,0,No,No,Yes,Yes,0
37,106.99,3850.3,Month-to-month,Credit card,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Female,0,No,No,Yes,Yes,0
10,56.52,542.94,Month-to-month,Electronic check,DSL,No,No,No,No,Yes,No,Female,0,Yes,No,Yes,Yes,0
18,67.4,1261.36,Month-to-month,Credit card,DSL,Yes,No,No,No,Yes,Yes,Female,0,Yes,No,Yes,No,0
13,85.34,1133.37,Month-to-month,Electronic check,Fiber optic,No,No,No,No,Yes,No,Female,0,No,No,Yes,No,1
10,51.92,541.6,Two year,Mailed check,DSL,Yes,No,No,No,No,No,Male,0,No,No,Yes,Yes,0
2,23.1,46.54,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,No,Yes,Yes,0
11,42.49,453.92,Two year,Electronic check,DSL,No,No,No,No,No,No,Female,0,Yes,Yes,Yes,No,0
3,88.29,270.1,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,No,No,Yes,Male,1,Yes,No,Yes,No,1
16,51.57,785.6,Month-to-month,Bank transfer,DSL,No,No,Yes,No,No,No,Male,0,No,Yes,Yes,No,0
39,82.68,3097.98,Month-to-month,Electronic check,Fiber optic,No,No,No,Yes,Yes,No,Female,0,Yes,Yes,No,No phone service,0
35,101.36,3704.57,One year,Electronic check,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Female,0,Yes,No,Yes,No,0
37,81.67,3126.95,Month-to-month,Electronic check,Fiber optic,No,No,No,No,No,Yes,Male,0,No,No,Yes,Yes,0
26,57.05,1455.53,Month-to-month,Electronic check,DSL,No,No,No,No,Yes,No,Female,0,Yes,No,Yes,No,0
35,74.56,2666.99,Month-to-month,Mailed check,DSL,Yes,No,No,Yes,Yes,Yes,Female,0,Yes,No,Yes,No,0
30,52.48,1584.72,Month-to-month,Credit card,DSL,No,No,Yes,No,No,No,Male,0,Yes,No,Yes,No,0
36,46.03,1605.39,Month-to-month,Bank transfer,DSL,No,No,No,No,No,No,Male,0,No,Yes,No,No phone service,0
17,54.0,924.29,Month-to-month,Mailed check,DSL,No,No,No,No,No,Yes,Female,0,No,No,Yes,No,1
35,85.71,3093.43,Month-to-month,Credit card,Fiber optic,No,No,No,No,Yes,Yes,Male,0,Yes,No,Yes,No,1
7,103.78,758.56,Month-to-month,Mailed check,Fiber optic,No,Yes,Yes,Yes,No,Yes,Male,0,Yes,Yes,Yes,Yes,0
18,87.44,1632.72,Month-to-month,Electronic check,Fiber optic,Yes,Yes,No,Yes,No,No,Male,0,Yes,Yes,Yes,No,1
36,78.55,2740.56,One year,Electronic check,Fiber optic,No,No,Yes,No,No,No,Male,0,Yes,No,Yes,No,0
57,63.24,3713.43,One year,Mailed check,DSL,No,Yes,No,Yes,No,No,Male,0,No,No,Yes,Yes,0
18,62.96,1130.92,Month-to-month,Credit card,DSL,No,Yes,Yes,No,No,Yes,Female,0,No,No,Yes,No,0
17,29.36,496.22,Month-to-month,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,Yes,Yes,Yes,0
14,114.56,1533.4,Month-to-month,Mailed check,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Female,0,No,Yes,Yes,Yes,0
51,52.45,2617.4,One year,Electronic check,DSL,No,No,No,No,No,No,Male,0,No,No,Yes,Yes,0
32,43.08,1392.44,Month-to-month,Electronic check,DSL,No,No,No,Yes,No,No,Male,0,Yes,No,Yes,No,1
12,68.98,842.72,Month-to-month,Bank transfer,DSL,No,Yes,No,No,Yes,Yes,Male,0,Yes,Yes,Yes,No,1
19,24.22,479.83,Month-to-month,Mailed check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Female,0,No,No,Yes,Yes,0
13,77.64,1040.17,Month-to-month,Credit card,Fiber optic,No,No,Yes,Yes,No,No,Female,0,No,No,Yes,No,1
19,70.49,1391.52,Two year,Electronic check,DSL,No,Yes,No,No,Yes,Yes,Male,0,No,No,Yes,Yes,0
27,66.08,1716.53,Month-to-month,Bank transfer,DSL,No,No,Yes,No,No,Yes,Female,0,No,No,Yes,Yes,0
51,24.76,1323.35,One year,Electronic check,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,Yes,No,Yes,Yes,0
37,25.18,962.34,Month-to-month,Credit card,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,0,No,Yes,Yes,Yes,0
65,52.02,3249.49,Two year,Electronic check,DSL,No,Yes,No,No,No,No,Male,0,Yes,No,Yes,Yes,0
21,82.74,1653.33,Two year,Mailed check,Fiber optic,No,Yes,No,No,Yes,No,Female,0,Yes,No,No,No phone service,0
17,71.88,1276.24,Month-to-month,Electronic check,DSL,No,Yes,No,Yes,Yes,No,Female,1,Yes,No,Yes,No,0
34,52.17,1748.91,Two year,Electronic check,DSL,No,No,Yes,No,No,No,Male,0,Yes,No,Yes,No,0
13,58.01,723.55,Month-to-month,Electronic check,DSL,No,No,Yes,No,Yes,No,Female,0,Yes,No,Yes,No,0
19,54.88,1075.28,Month-to-month,Electronic check,DSL,No,No,No,No,Yes,No,Male,0,No,No,Yes,No,0
1,54.77,56.37,Month-to-month,Electronic check,DSL,No,No,No,No,Yes,No,Female,0,Yes,Yes,Yes,No,1
4,57.88,231.01,Month-to-month,Credit card,DSL,Yes,No,No,No,Yes,No,Male,0,Yes,No,Yes,No,0
28,76.43,2093.28,Month-to-month,Credit card,Fiber optic,No,No,Yes,No,No,No,Female,0,Yes,Yes,Yes,No,0
47,19.84,900.68,Two year,Bank transfer,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Male,1,Yes,No,Yes,No,0
23,82.06,1971.28,Month-to-month,Electronic check,Fiber optic,Yes,No,No,No,No,No,Male,0,No,No,Yes,Yes,0
55,66.07,3776.44,Two year,Electronic check,DSL,No,Yes,No,No,Yes,Yes,Male,1,Yes,No,No,No phone service,0
25,94.55,2429.91,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,Yes,Yes,Female,0,No,No,Yes,No,1
13,103.97,1374.32,Two year,Electronic check,Fiber optic,No,No,Yes,Yes,Yes,Yes,Male,1,No,No,Yes,Yes,0
66,72.81,5004.51,Two year,Mailed check,Fiber optic,No,No,No,No,No,No,Male,0,Yes,No,Yes,No,0
6,55.44,332.18,Month-to-month,Bank transfer,DSL,No,No,No,No,No,Yes,Male,1,Yes,No,Yes,No,0
20,87.99,1781.96,Month-to-month,Bank transfer,Fiber optic,Yes,No,No,No,No,Yes,Female,1,No,No,Yes,No,1
12,67.38,798.58,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No,No,No,Male,0,No,No,Yes,No,1
4,87.85,356.33,Month-to-month,Bank transfer,Fiber optic,No,Yes,Yes,Yes,No,No,Male,1,No,No,Yes,Yes,1
65,64.7,3995.91,Two year,Bank transfer,DSL,No,No,Yes,No,No,Yes,Male,0,No,Yes,Yes,Yes,0
27,58.86,1606.92,Month-to-month,Electronic check,DSL,No,No,No,No,No,Yes,Female,1,No,No,Yes,Yes,0
13,84.23,1052.95,Month-to-month,Credit card,Fiber optic,No,No,No,No,Yes,No,Male,0,Yes,No,Yes,Yes,1
62,59.22,3515.06,Two year,Mailed check,DSL,No,No,No,Yes,Yes,No,Female,0,Yes,No,Yes,Yes,0
22,84.44,1843.64,Month-to-month,Credit card,Fiber optic,No,Yes,Yes,No,No,No,Male,0,No,Yes,Yes,Yes,1
65,81.04,5117.79,Two year,Credit card,Fiber optic,No,No,No,No,No,Yes,Female,0,No,No,Yes,No,0
40,49.69,1978.77,Two year,Mailed check,DSL,No,No,Yes,No,No,No,Female,0,Yes,Yes,Yes,No,0
13,94.27,1216.08,Month-to-month,Credit card,Fiber optic,No,Yes,No,No,Yes,Yes,Female,0,No,No,Yes,No,0
61,66.23,3974.47,Two year,Credit card,DSL,No,Yes,No,Yes,No,Yes,Male,0,Yes,Yes,Yes,No,0
30,94.2,2730.43,Month-to-month,Bank transfer,Fiber optic,No,No,No,Yes,Yes,Yes,Male,0,Yes,No,Yes,Yes,0
